3
999
999
4.310307e-02
10 01
T T
5.693439e-01 2.155153e-02 2.155153e-02 1.000000 0.803548 0.070943
2.217918e-01 2.155153e-02 2.155153e-02 1.000000 0.078054 0.487012
1.072806e-02 2.155153e-02 2.155153e-02 1.000000 0.959960 0.760364
2.487541e-01 2.155153e-02 2.155153e-02 1.000000 0.192892 0.375915
3.047371e-01 2.155153e-02 2.155153e-02 1.000000 0.884965 0.591922
8.637632e-02 2.155153e-02 2.155153e-02 1.000000 0.899739 0.080160
9.719290e-02 2.155153e-02 2.155153e-02 1.000000 0.427876 0.089819
7.861040e-01 2.155153e-02 2.155153e-02 1.000000 0.851884 0.596350
8.267282e-01 2.155153e-02 2.155153e-02 1.000000 0.850715 0.877604
9.268023e-01 2.155153e-02 2.155153e-02 1.000000 0.205504 0.894285
1.775768e-01 2.155153e-02 2.155153e-02 1.000000 0.130267 0.627422
4.421763e-01 2.155153e-02 2.155153e-02 1.000000 0.647929 0.543538
1.127290e-02 2.155153e-02 2.155153e-02 1.000000 0.162620 0.718175
8.644514e-01 2.155153e-02 2.155153e-02 1.000000 0.867076 0.372569
3.829908e-02 2.155153e-02 2.155153e-02 1.000000 0.909311 0.004982
3.867533e-01 2.155153e-02 2.155153e-02 1.000000 0.712018 0.557430
6.095072e-01 2.155153e-02 2.155153e-02 1.000000 0.337059 0.127717
6.354825e-01 2.155153e-02 2.155153e-02 1.000000 0.260938 0.900422
9.816971e-01 2.155153e-02 2.155153e-02 1.000000 0.628103 0.372322
3.876814e-01 2.155153e-02 2.155153e-02 1.000000 0.359549 0.181369
1.334154e-01 2.155153e-02 2.155153e-02 1.000000 0.770221 0.903371
5.950433e-01 2.155153e-02 2.155153e-02 1.000000 0.099977 0.167038
9.751454e-01 2.155153e-02 2.155153e-02 1.000000 0.587205 0.879190
3.894593e-01 2.155153e-02 2.155153e-02 1.000000 0.798600 0.796034
1.999866e-02 2.155153e-02 2.155153e-02 1.000000 0.439484 0.833032
7.660068e-01 2.155153e-02 2.155153e-02 1.000000 0.278327 0.873098
5.741227e-02 2.155153e-02 2.155153e-02 1.000000 0.123212 0.695988
8.526601e-01 2.155153e-02 2.155153e-02 1.000000 0.335361 0.807853
1.601446e-01 2.155153e-02 2.155153e-02 1.000000 0.187925 0.723978
9.693652e-02 2.155153e-02 2.155153e-02 1.000000 0.448732 0.059284
3.147887e-01 2.155153e-02 2.155153e-02 1.000000 0.676792 0.736601
2.924274e-01 2.155153e-02 2.155153e-02 1.000000 0.397261 0.553295
9.414202e-01 2.155153e-02 2.155153e-02 1.000000 0.331627 0.268274
2.674643e-01 2.155153e-02 2.155153e-02 1.000000 0.772449 0.409358
6.504981e-01 2.155153e-02 2.155153e-02 1.000000 0.517883 0.085297
2.244468e-01 2.155153e-02 2.155153e-02 1.000000 0.208565 0.005431
5.441138e-01 2.155153e-02 2.155153e-02 1.000000 0.163676 0.432190
4.986864e-01 2.155153e-02 2.155153e-02 1.000000 0.157524 0.572299
5.730955e-01 2.155153e-02 2.155153e-02 1.000000 0.165908 0.961976
3.165880e-01 2.155153e-02 2.155153e-02 1.000000 0.585063 0.729877
4.957152e-01 2.155153e-02 2.155153e-02 1.000000 0.556379 0.885510
8.247471e-01 2.155153e-02 2.155153e-02 1.000000 0.368072 0.138992
5.560119e-01 2.155153e-02 2.155153e-02 1.000000 0.198872 0.193913
7.523015e-01 2.155153e-02 2.155153e-02 1.000000 0.277042 0.729739
9.736309e-01 2.155153e-02 2.155153e-02 1.000000 0.220216 0.742870
7.938708e-01 2.155153e-02 2.155153e-02 1.000000 0.026396 0.548974
4.419576e-01 2.155153e-02 2.155153e-02 1.000000 0.596248 0.312406
7.627137e-01 2.155153e-02 2.155153e-02 1.000000 0.672270 0.834448
1.015250e-01 2.155153e-02 2.155153e-02 1.000000 0.111767 0.537795
9.367328e-03 2.155153e-02 2.155153e-02 1.000000 0.671434 0.726671
6.029309e-02 2.155153e-02 2.155153e-02 1.000000 0.153599 0.074936
8.470772e-01 2.155153e-02 2.155153e-02 1.000000 0.085349 0.427131
4.887488e-01 2.155153e-02 2.155153e-02 1.000000 0.393420 0.263586
3.547271e-01 2.155153e-02 2.155153e-02 1.000000 0.006874 0.782340
6.760770e-02 2.155153e-02 2.155153e-02 1.000000 0.863160 0.241288
7.812012e-02 2.155153e-02 2.155153e-02 1.000000 0.315651 0.648995
2.347818e-01 2.155153e-02 2.155153e-02 1.000000 0.945450 0.304202
3.787129e-01 2.155153e-02 2.155153e-02 1.000000 0.518102 0.149095
9.344398e-01 2.155153e-02 2.155153e-02 1.000000 0.581696 0.576894
6.179137e-01 2.155153e-02 2.155153e-02 1.000000 0.609975 0.889619
1.226069e-01 2.155153e-02 2.155153e-02 1.000000 0.625291 0.858674
5.541458e-01 2.155153e-02 2.155153e-02 1.000000 0.000981 0.253822
4.935798e-01 2.155153e-02 2.155153e-02 1.000000 0.406694 0.481518
4.595512e-01 2.155153e-02 2.155153e-02 1.000000 0.122551 0.895733
6.641849e-01 2.155153e-02 2.155153e-02 1.000000 0.202582 0.358257
5.122376e-01 2.155153e-02 2.155153e-02 1.000000 0.200218 0.407820
3.961608e-02 2.155153e-02 2.155153e-02 1.000000 0.686497 0.476836
8.825359e-01 2.155153e-02 2.155153e-02 1.000000 0.190925 0.625668
8.593148e-01 2.155153e-02 2.155153e-02 1.000000 0.682382 0.282475
4.060895e-01 2.155153e-02 2.155153e-02 1.000000 0.351904 0.358963
6.236820e-01 2.155153e-02 2.155153e-02 1.000000 0.837420 0.454085
4.158212e-01 2.155153e-02 2.155153e-02 1.000000 0.267507 0.565114
3.663765e-01 2.155153e-02 2.155153e-02 1.000000 0.271650 0.649163
9.128066e-01 2.155153e-02 2.155153e-02 1.000000 0.366163 0.005629
4.412502e-01 2.155153e-02 2.155153e-02 1.000000 0.230426 0.087594
6.864509e-02 2.155153e-02 2.155153e-02 1.000000 0.284281 0.797986
3.418093e-01 2.155153e-02 2.155153e-02 1.000000 0.453942 0.691198
8.156118e-01 2.155153e-02 2.155153e-02 1.000000 0.155105 0.618953
2.100996e-01 2.155153e-02 2.155153e-02 1.000000 0.371913 0.704482
6.295936e-01 2.155153e-02 2.155153e-02 1.000000 0.886764 0.030744
3.396239e-01 2.155153e-02 2.155153e-02 1.000000 0.965235 0.955559
7.253981e-01 2.155153e-02 2.155153e-02 1.000000 0.320863 0.927275
4.632401e-01 2.155153e-02 2.155153e-02 1.000000 0.206984 0.043481
3.352562e-01 2.155153e-02 2.155153e-02 1.000000 0.463045 0.775571
7.543963e-01 2.155153e-02 2.155153e-02 1.000000 0.510689 0.077313
3.827639e-01 2.155153e-02 2.155153e-02 1.000000 0.744918 0.235203
1.026687e-01 2.155153e-02 2.155153e-02 1.000000 0.554771 0.892513
3.273483e-01 2.155153e-02 2.155153e-02 1.000000 0.655130 0.438718
8.153697e-01 2.155153e-02 2.155153e-02 1.000000 0.879905 0.902944
9.921691e-01 2.155153e-02 2.155153e-02 1.000000 0.236534 0.733225
2.458986e-01 2.155153e-02 2.155153e-02 1.000000 0.880205 0.969734
5.273162e-01 2.155153e-02 2.155153e-02 1.000000 0.162309 0.521374
6.009558e-01 2.155153e-02 2.155153e-02 1.000000 0.084385 0.997505
